time,op,hi,lo,cl,10ma,25ma,75ma
2016/11/30 07:00:00,112.38,114.537,112.058,114.45599999999999,111.54629999999997,107.78539999999997,104.11486666666667
2016/12/01 07:00:00,114.45599999999999,114.831,113.838,114.0925,112.08425,108.18429999999998,104.30453333333335
2016/12/02 07:00:00,114.0925,114.206,113.33,113.51150000000001,112.48150000000001,108.53829999999999,104.49339333333334
2016/12/05 07:00:00,113.311,114.775,112.911,113.8485,112.74249999999999,108.88985999999998,104.67060000000001
2016/12/06 07:00:00,113.8485,114.188,113.502,114.0095,113.0452,109.25281999999999,104.85087333333335
2016/12/07 07:00:00,114.0095,114.4,113.413,113.77199999999999,113.33234999999999,109.65040000000003,105.03505333333335
2016/12/08 07:00:00,113.77199999999999,114.374,113.131,114.035,113.45885000000001,110.0677,105.21244666666668
2016/12/09 07:00:00,114.035,115.37,114.011,115.3245,113.52915000000003,110.51026,105.39234000000002
2016/12/12 07:00:00,115.418,116.117,114.859,115.023,113.73735000000002,110.99870000000001,105.5723
2016/12/13 07:00:00,115.023,115.475,114.746,115.1845,114.04524999999998,111.41976000000001,105.74733333333334
2016/12/14 07:00:00,115.1845,117.394,114.774,117.042,114.32570000000001,111.82062,105.91011333333334
2016/12/15 07:00:00,117.042,118.665,117.013,118.175,114.58429999999998,112.27546000000001,106.09258666666669
2016/12/16 07:00:00,118.175,118.425,117.462,117.92349999999999,114.99254999999998,112.72922,106.29180666666669
2016/12/19 07:00:00,117.961,117.968,116.546,117.0955,115.43375,113.17982,106.47829999999999
2016/12/20 07:00:00,117.0955,118.241,116.988,117.85499999999999,115.75845,113.52644000000001,106.66051333333336
2016/12/21 07:00:00,117.85499999999999,118.069,117.111,117.55699999999999,116.14299999999999,113.87243999999998,106.87065333333335
2016/12/22 07:00:00,117.55699999999999,117.876,117.275,117.539,116.52149999999999,114.21166,107.08184000000001
2016/12/23 07:00:00,117.539,117.595,117.177,117.32149999999999,116.87189999999998,114.50842,107.28369333333335
2016/12/26 07:00:00,117.35,117.356,117.009,117.117,117.07160000000002,114.76521999999999,107.4788
2016/12/27 07:00:00,117.106,117.619,117.081,117.42500000000001,117.28099999999999,115.01704,107.68134000000002
2016/12/28 07:00:00,117.42500000000001,117.814,117.056,117.2575,117.50505000000001,115.26852000000001,107.87962666666668
2016/12/29 07:00:00,117.2575,117.241,116.235,116.536,117.52659999999999,115.45854000000001,108.07840666666668
2016/12/30 07:00:00,116.536,117.195,116.048,116.98750000000001,117.36269999999999,115.58670000000002,108.27156000000001
2017/01/03 07:00:00,117.523,118.607,117.208,117.75399999999999,117.26909999999998,115.73650000000004,108.46782666666667
2017/01/04 07:00:00,117.75399999999999,118.184,117.057,117.24350000000001,117.33494999999998,115.96890000000002,108.67988666666666
2017/01/05 07:00:00,117.24350000000001,117.43,115.216,115.357,117.27380000000001,116.16344000000002,108.88668
2017/01/06 07:00:00,115.357,117.178,115.074,116.98349999999999,117.0538,116.19948000000002,109.08562666666666
2017/01/09 07:00:00,117.0205,117.533,115.97,116.0305,116.99825000000001,116.31512,109.30149999999999
2017/01/10 07:00:00,116.0305,116.344,115.201,115.7705,116.86915000000002,116.41588,109.50171333333334
2017/01/11 07:00:00,115.7705,116.859,114.245,115.415,116.73450000000003,116.49275999999998,109.70786666666667
2017/01/12 07:00:00,115.415,115.511,113.762,114.71000000000001,116.53349999999998,116.54897999999997,109.90790666666668
2017/01/13 07:00:00,114.71000000000001,115.441,114.217,114.5135,116.27874999999999,116.58649999999997,110.09437333333332
2017/01/16 07:00:00,114.3435,114.47,113.655,114.1945,116.07649999999998,116.60563999999997,110.27322
2017/01/17 07:00:00,114.1945,114.284,112.612,112.62,115.7972,116.56044,110.44458000000002
2017/01/18 07:00:00,112.62,114.768,112.579,114.64500000000001,115.28380000000001,116.46431999999999,110.59098
2017/01/19 07:00:00,114.64500000000001,115.624,114.404,114.86500000000001,115.02395000000001,116.44274,110.74753999999999
2017/01/20 07:00:00,114.86500000000001,115.385,114.214,114.60249999999999,114.97475000000001,116.35565999999999,110.89871999999995
2017/01/23 07:00:00,114.283,114.431,112.702,112.7125,114.73665000000001,116.21276000000002,111.04039333333331
2017/01/24 07:00:00,112.7125,113.894,112.526,113.78999999999999,114.40485000000001,116.00431999999999,111.17107333333331
2017/01/25 07:00:00,113.78999999999999,113.991,113.04,113.2815,114.2068,115.8721,111.30633333333334
2017/01/26 07:00:00,113.2815,114.857,113.055,114.523,113.99345000000001,115.68915999999999,111.43593999999997
2017/01/27 07:00:00,114.523,115.374,114.395,115.08850000000001,113.97474999999997,115.5678,111.57297333333331
2017/01/30 07:00:00,114.74950000000001,114.952,113.456,113.77799999999999,114.03225,115.46978000000001,111.72525333333331
2017/01/31 07:00:00,113.77799999999999,113.965,112.083,112.80199999999999,113.9906,115.32804,111.85338000000002
2017/02/01 07:00:00,112.80199999999999,113.952,112.646,113.2495,114.0088,115.15544000000001,111.97217999999998
2017/02/02 07:00:00,113.2495,113.365,112.055,112.8,113.86925,114.98841999999999,112.09716
2017/02/03 07:00:00,112.8,113.455,112.319,112.5865,113.66275,114.81012000000001,112.22262666666664
2017/02/06 07:00:00,112.476,112.776,111.626,111.744,113.46115,114.65213999999997,112.33749333333331
2017/02/07 07:00:00,111.744,112.577,111.596,112.3885,113.3643,114.44239999999999,112.44304666666663
2017/02/08 07:00:00,112.3885,112.544,111.632,111.9365,113.22415000000001,114.22778,112.55182666666663
2017/02/09 07:00:00,111.9365,113.349,111.745,113.249,113.08965,114.01550000000002,112.65477999999997
